# Step  E_PER_ATOM_RMSE  E_RMSE  F_RMSE
10000       4.830199e-03   9.322286e-01   1.470025e-01 
40000       7.054878e-03   1.361592e+00   9.469556e-02 
70000       7.693579e-03   1.484861e+00   7.905393e-02 
100000      6.641867e-03   1.281880e+00   7.244391e-02 
130000      6.481010e-03   1.250835e+00   6.615543e-02 
160000      3.733179e-03   7.205034e-01   6.179831e-02 
190000      1.094181e-03   2.111770e-01   6.224638e-02 
220000      4.037275e-03   7.791941e-01   5.588917e-02 
250000      7.401516e-03   1.428493e+00   5.357243e-02 
280000      7.360797e-03   1.420634e+00   5.243368e-02 
310000      5.841487e-03   1.127407e+00   5.365961e-02 
340000      8.161764e-04   1.575221e-01   4.873611e-02 
370000      1.368541e-02   2.641284e+00   4.984335e-02 
400000      3.582960e-03   6.915113e-01   4.959665e-02 
430000      2.756573e-03   5.320186e-01   4.839562e-02 
460000      1.015458e-03   1.959834e-01   4.561695e-02 
490000      5.605023e-03   1.081769e+00   4.382504e-02 
520000      7.410788e-04   1.430282e-01   4.519159e-02 
550000      4.008542e-03   7.736486e-01   4.819602e-02 
580000      3.534502e-03   6.821589e-01   4.197727e-02 
610000      6.866352e-03   1.325206e+00   4.228376e-02 
640000      1.802757e-03   3.479320e-01   4.118644e-02 
670000      2.630046e-03   5.075989e-01   4.129212e-02 
700000      3.007533e-03   5.804538e-01   4.253774e-02 
730000      1.229732e-03   2.373382e-01   4.139484e-02 
760000      5.903011e-03   1.139281e+00   3.979154e-02 
790000      1.416177e-03   2.733221e-01   4.061597e-02 
820000      6.158859e-03   1.188660e+00   3.906622e-02 
850000      4.286074e-03   8.272123e-01   3.901168e-02 
880000      1.573989e-03   3.037800e-01   4.032999e-02 
910000      2.632565e-03   5.080850e-01   3.798450e-02 
940000      2.251690e-03   4.345763e-01   3.762905e-02 
970000      5.588116e-04   1.078506e-01   3.787630e-02 
1000000     5.602990e-04   1.081377e-01   4.025493e-02 
1030000     3.771411e-03   7.278823e-01   3.668481e-02 
1060000     5.345045e-03   1.031594e+00   3.656567e-02 
1090000     2.328210e-03   4.493445e-01   3.651578e-02 
1120000     6.009143e-04   1.159765e-01   3.688396e-02 
1150000     1.486682e-03   2.869297e-01   3.750987e-02 
1180000     1.182033e-03   2.281324e-01   3.610244e-02 
1210000     1.812899e-03   3.498894e-01   3.561002e-02 
