# Step  E_PER_ATOM_RMSE  E_RMSE  F_RMSE
10000       1.721399e-02   3.322300e+00   1.376217e-01 
40000       4.147219e-03   8.004131e-01   8.841413e-02 
70000       6.701373e-03   1.293365e+00   7.221394e-02 
100000      6.166966e-03   1.190224e+00   6.567822e-02 
130000      5.250096e-03   1.013269e+00   6.214980e-02 
160000      1.547868e-03   2.987386e-01   6.025343e-02 
190000      5.835727e-03   1.126296e+00   5.642071e-02 
220000      4.585942e-03   8.850868e-01   5.457187e-02 
250000      7.481657e-03   1.443960e+00   5.653927e-02 
280000      6.139761e-03   1.184974e+00   5.536274e-02 
310000      5.081426e-03   9.807152e-01   4.911134e-02 
340000      2.420277e-03   4.671133e-01   4.809447e-02 
370000      2.698979e-03   5.209030e-01   4.727688e-02 
400000      4.095091e-03   7.903526e-01   4.616506e-02 
430000      1.294842e-03   2.499045e-01   4.737025e-02 
460000      1.995358e-03   3.851042e-01   4.509539e-02 
490000      8.423010e-03   1.625641e+00   4.441297e-02 
520000      2.458681e-03   4.745255e-01   4.332414e-02 
550000      2.345221e-03   4.526276e-01   4.373099e-02 
580000      2.719938e-03   5.249480e-01   4.245042e-02 
610000      1.902711e-03   3.672233e-01   4.258353e-02 
640000      2.601258e-03   5.020428e-01   4.104502e-02 
670000      6.951190e-04   1.341580e-01   4.269470e-02 
700000      3.979994e-03   7.681389e-01   4.052784e-02 
730000      7.290939e-04   1.407151e-01   4.034438e-02 
760000      9.553697e-04   1.843863e-01   3.929037e-02 
790000      2.623186e-03   5.062748e-01   3.873611e-02 
820000      8.816188e-04   1.701525e-01   3.905854e-02 
850000      1.257788e-03   2.427530e-01   3.801258e-02 
880000      4.069301e-03   7.853749e-01   3.830074e-02 
910000      6.313129e-03   1.218434e+00   3.781066e-02 
940000      5.577535e-03   1.076464e+00   4.076643e-02 
970000      2.068732e-03   3.992653e-01   3.703456e-02 
1000000     1.501716e-03   2.898312e-01   4.003063e-02 
1030000     1.702814e-03   3.286430e-01   3.859099e-02 
1060000     4.058928e-03   7.833730e-01   3.585597e-02 
1090000     2.411703e-03   4.654588e-01   3.528144e-02 
1120000     5.475922e-03   1.056853e+00   3.537731e-02 
1150000     8.683784e-04   1.675970e-01   3.525687e-02 
1180000     1.891708e-03   3.650997e-01   3.670358e-02 
1210000     2.543637e-03   4.909221e-01   3.586482e-02 
1240000     9.454332e-04   1.824686e-01   3.493730e-02 
1270000     5.649066e-03   1.090269e+00   3.403876e-02 
1300000     4.956416e-04   9.565882e-02   3.652819e-02 
1330000     1.345142e-03   2.596125e-01   3.384330e-02 
1360000     2.019840e-03   3.898290e-01   3.386926e-02 
1390000     1.693284e-03   3.268037e-01   3.510214e-02 
1420000     4.203610e-04   8.112969e-02   3.341627e-02 
1450000     2.171485e-03   4.190967e-01   3.330925e-02 
1480000     3.660297e-03   7.064373e-01   3.665913e-02 
1510000     5.126043e-03   9.893263e-01   3.323593e-02 
1540000     2.378966e-03   4.591404e-01   3.555382e-02 
1570000     2.472889e-03   4.772676e-01   3.260612e-02 
1600000     4.385262e-04   8.463556e-02   3.347536e-02 
1630000     2.071865e-03   3.998699e-01   3.501923e-02 
1660000     3.125774e-03   6.032745e-01   3.404804e-02 
1690000     1.594783e-03   3.077932e-01   3.233130e-02 
1720000     3.112565e-03   6.007250e-01   3.214252e-02 
1750000     5.913209e-04   1.141250e-01   3.318059e-02 
1780000     2.978627e-03   5.748751e-01   3.216810e-02 
1810000     8.840697e-04   1.706255e-01   3.248686e-02 
1840000     9.184129e-04   1.772537e-01   3.301240e-02 
1870000     1.204240e-03   2.324182e-01   3.192756e-02 
1900000     2.785452e-03   5.375922e-01   3.184970e-02 
1930000     3.826489e-03   7.385123e-01   3.184884e-02 
1960000     1.198216e-03   2.312557e-01   3.186642e-02 
1990000     2.022753e-03   3.903913e-01   3.118423e-02 
2020000     4.371834e-03   8.437641e-01   3.278343e-02 
2050000     2.400553e-03   4.633067e-01   3.090950e-02 
2080000     3.338776e-03   6.443839e-01   3.228169e-02 
2110000     2.678167e-03   5.168862e-01   3.167871e-02 
2140000     3.841635e-03   7.414357e-01   3.101439e-02 
2170000     3.842251e-03   7.415546e-01   3.607537e-02 
2200000     1.066372e-03   2.058099e-01   3.312240e-02 
2230000     1.065720e-03   2.056840e-01   3.088459e-02 
2260000     1.849194e-03   3.568945e-01   3.035149e-02 
2290000     9.356808e-04   1.805864e-01   3.203472e-02 
2320000     2.241470e-03   4.326037e-01   2.990625e-02 
2350000     1.993135e-03   3.846751e-01   3.131674e-02 
2380000     4.261084e-03   8.223893e-01   3.022937e-02 
2410000     9.183289e-04   1.772374e-01   3.287679e-02 
2440000     4.158630e-03   8.026155e-01   3.048976e-02 
2470000     7.969954e-04   1.538201e-01   3.257529e-02 
2500000     1.470319e-03   2.837717e-01   2.992734e-02 
2530000     4.621550e-04   8.919592e-02   3.409547e-02 
2560000     7.762878e-04   1.498236e-01   3.033007e-02 
2590000     1.439307e-03   2.777863e-01   3.070156e-02 
2620000     3.030142e-03   5.848173e-01   2.974613e-02 
2650000     4.256032e-03   8.214141e-01   2.988561e-02 
